2019-04-09;111337;58670848;101;price<=>price<br>price<=>189000<br>m<=>51.3<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-11;2297140;58710360;101;price<=>price<br>price<=>400000<br>m<=>50<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2002
2019-04-11;4835844;58711612;101;price<=>price<br>price<=>319900<br>m<=>39.6<br>building_type<=>block<br>windows_type<=><br>build_year<=>1960
2019-04-12;4692352;58725972;101;price<=>price<br>price<=>680000<br>m<=>59<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-12;1191875;58733408;101;price<=>price<br>price<=>155398.5<br>m<=>38.37<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2020
2019-04-14;2435764;58744812;102;price<=>price<br>price<=>930<br>m<=>90<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-14;1641452;58749288;101;price<=>price<br>price<=>60000<br>m<=>61<br>building_type<=>tenement<br>windows_type<=>plastic<br>build_year<=>
2019-04-03;3923367;58568456;101;price<=>price<br>price<=>389208<br>m<=>48.3<br>building_type<=>block<br>windows_type<=><br>build_year<=>2018
2019-04-08;524731;58649640;201;price<=>price<br>price<=>465000<br>m<=>138.87<br>building_type<=>detached<br>build_year<=>2019<br>windows_type<=>plastic<br>location<=>
2019-04-08;3923367;58655248;101;price<=>price<br>price<=>471549<br>m<=>41.73<br>building_type<=>block<br>windows_type<=><br>build_year<=>2019
2019-04-09;4092272;58665640;102;price<=>price<br>price<=>1100<br>m<=>34<br>building_type<=>block<br>windows_type<=><br>build_year<=>
2019-04-11;445364;58698860;101;price<=>price<br>price<=>137000<br>m<=>23.37<br>building_type<=>block<br>windows_type<=><br>build_year<=>1986
2019-04-12;4474660;58730372;101;price<=>price<br>price<=>320000<br>m<=>71.17<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-12;882916;58731288;401;price<=>price<br>price<=>117000<br>m<=>950<br>location<=>
2019-04-12;786911;58733680;101;price<=>price<br>price<=>200000<br>m<=>48.5<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>1965
2019-04-14;2435764;58744588;102;price<=>price<br>price<=>1800<br>m<=>90<br>building_type<=><br>windows_type<=><br>build_year<=>
2019-04-15;3661567;58754472;102;price<=>price<br>price<=>2000<br>m<=>42<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>
2019-04-16;3106352;58772076;101;price<=>price<br>price<=>220000<br>m<=>51.1<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-18;1358845;58810240;101;price<=>price<br>price<=>429000<br>m<=>83.51<br>building_type<=>block<br>windows_type<=><br>build_year<=>2007
2019-04-19;717669;58815340;401;price<=>price<br>price<=>97000<br>m<=>17800<br>location<=>country
2019-04-19;717669;58815684;101;price<=>price<br>price<=>260000<br>m<=>74<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2012
2019-04-01;4830212;58531788;201;price<=>price<br>price<=>900000<br>m<=>172.75<br>building_type<=><br>build_year<=>2009<br>windows_type<=>wooden<br>location<=>
2019-04-02;4057404;58557880;401;price<=>price<br>price<=>300000<br>m<=>2812<br>location<=>
2019-04-03;3618819;58569948;102;price<=>price<br>price<=>1400<br>m<=>38<br>building_type<=><br>windows_type<=>plastic<br>build_year<=>
2019-04-03;28452;58570716;502;price<=>price<br>price<=>1000<br>m<=>95<br>building_type<=><br>build_year<=>
2019-04-04;776737;58601212;101;price<=>price<br>price<=>228128.4<br>m<=>55.73<br>building_type<=>apartment<br>windows_type<=><br>build_year<=>
2019-04-08;810427;58651340;102;price<=>price<br>price<=>1150<br>m<=>50<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>
2019-04-08;2297140;58652024;101;price<=>price<br>price<=>410000<br>m<=>84<br>building_type<=>block<br>windows_type<=>plastic<br>build_year<=>2012
2019-04-09;111337;58670780;401;price<=>price<br>price<=>140000<br>m<=>1153<br>location<=>
